Bathrooms,Bedrooms,Erf Size,Garages,Price,Type of Property,city,no_year,Size_meters_Square
4.0,4.0,0.0,2.0,4299000.0,1,1,1,0
2.0,3.0,1733.0,2.0,2800000.0,1,1,1,1733
2.0,3.0,987.0,1.0,980000.0,1,1,1,987
2.0,3.0,1539.0,2.0,1795000.0,1,1,1,1539
3.0,4.0,0.0,4.0,3995000.0,1,1,1,0
2.0,3.0,99.0,1.0,1075000.0,1,1,1,99
1.0,3.0,165.0,2.0,950000.0,1,1,1,165
2.0,4.0,1500.0,2.0,2350000.0,1,1,1,1500
2.0,3.0,991.0,2.0,2200000.0,1,1,1,991
2.0,3.0,880.0,2.0,1100000.0,1,1,1,880
2.0,3.0,323.0,2.0,1650000.0,0,1,1,323
4.0,5.0,1200.0,3.0,8850000.0,1,1,1,1200
3.0,3.0,112.0,1.0,1229943.0,1,1,1,112
2.0,2.0,120.0,1.0,1399999.0,0,1,1,120
2.0,3.0,331.0,2.0,1450000.0,1,1,1,331
7.0,7.0,656.0,5.0,5600000.0,1,1,1,656
2.0,3.0,330.0,2.0,1595000.0,0,1,1,330
3.0,4.0,0.0,2.0,1495000.0,1,1,1,0
2.0,3.0,0.0,2.0,1350000.0,0,1,1,0
2.0,4.0,470.0,4.0,2590000.0,1,1,1,470
8.0,7.0,855.0,3.0,4250000.0,1,1,1,855
2.0,3.0,0.0,2.0,1750000.0,1,1,1,0
3.0,4.0,400.0,4.0,2795000.0,1,1,1,400
2.0,4.0,1467.0,2.0,5900000.0,1,1,1,1467
3.0,3.0,99.0,1.0,1124844.0,0,1,1,99
2.0,4.0,992.0,2.0,2850000.0,1,1,1,992
2.0,3.0,991.0,2.0,2200000.0,1,1,1,991
2.0,3.0,1.0,2.0,1695000.0,0,1,1,1
2.0,3.0,1.0,2.0,1850000.0,0,1,1,1
2.0,3.0,124.0,1.0,1590000.0,0,1,1,124
2.0,3.0,98.0,1.0,1250000.0,0,1,1,98
2.0,3.0,500.0,2.0,2200000.0,1,1,1,500
3.0,3.0,99.0,1.0,1124844.0,1,1,1,99
2.0,3.0,142.0,2.0,1350000.0,1,1,1,142
3.0,4.0,889.0,2.0,1890000.0,1,1,1,889
2.0,5.0,1983.0,2.0,3700000.0,1,1,1,1983
4.0,4.0,350.0,2.0,3050000.0,1,1,1,350
2.0,5.0,320.0,2.0,2400000.0,1,1,2,320
4.0,4.0,0.0,2.0,3000000.0,0,1,1,0
2.0,3.0,0.0,2.0,1450000.0,0,1,1,0
2.0,3.0,363.0,2.0,1590000.0,0,1,1,363
2.0,3.0,900.0,2.0,1950000.0,1,1,1,900
3.0,5.0,0.0,3.0,1990000.0,1,1,1,0
2.0,4.0,0.0,2.0,2800000.0,1,1,1,0
2.0,2.0,98.0,1.0,880000.0,0,1,1,98
2.0,3.0,184.0,1.0,1650000.0,0,1,1,184
2.0,3.0,185.0,2.0,1599000.0,0,1,1,185
3.0,4.0,300.0,2.0,2695000.0,1,1,1,300
2.0,3.0,112.0,1.0,880000.0,0,1,1,112
5.0,5.0,1100.0,4.0,14999000.0,1,1,1,1100
2.0,3.0,160.0,2.0,1620000.0,1,1,1,160
3.0,3.0,255.0,1.0,2195000.0,0,1,1,255
3.0,4.0,800.0,2.0,950000.0,1,1,1,800
